Direction,Ligand-receptor pair,Mean interaction  score in Control,Mean interaction  score in OW,Mean interaction  score in T2D,P_Global_KW,P_OW_vs_Control,P_T2D_vs_Control,P_T2D_vs_OW,Log2FC_OW_vs_Control,Log2FC_T2D_vs_Control,Log2FC_T2D_vs_OW,FDR_Global,FDR_T2D_Control,FDR_OW_Control,FDR_T2D_OW
PeriMac->Beta,CALR_MTNR1A,0.526907447007428,0.563546826731951,0.62343400320718,0.0114508882698798,0.094160219930874,0.00188542797553556,0.141153456187029,0.0969859228149704,0.242687273777735,0.145701350962764,0.0144051093434172,0.00404463414503203,0.130851643335233,0.19826523705957
PeriMac->Beta,WNT11_FZD5,0.239196379397908,0.199910590514611,0.246073477106953,0.0114762258979677,0.0532535863122422,0.238159347850797,0.00524872669645648,-0.258840648,0.0408936136124879,0.299734262049435,0.0144350371057501,0.302952461032624,0.0785498818976273,0.0109310387641317
PeriMac->Beta,VWF_ITGAV,0.288264011757925,0.216494037458729,0.239739061360754,0.0121039419319626,0.00425222598212356,0.162248201150859,0.143382190822039,-0.413063442,-0.265925744,0.14713769815194,0.0151836431335862,0.217825449098333,0.00823091179938753,0.201092929783187
PeriMac->Beta,CALM1_GLP2R,0.232280835359319,0.183262976149264,0.190569635629247,0.012730608372704,0.00480286452281453,0.0439261871869678,0.48848777159963,-0.341954772,-0.28555186,0.0564029120773705,0.0159205141306587,0.0686682544126086,0.00917303854807821,0.565898402071702
PeriMac->Beta,WNT16_FZD1,0.246427308357622,0.188314718759922,0.174480128725041,0.012994297794171,0.0116654675231401,0.0090591619718783,0.905379591432612,-0.388016372,-0.498099398,-0.110083026,0.0162220034561064,0.0167036692772644,0.0202711402861123,0.928063827349825
PeriMac->Beta,CD99_CD99,0.806500772082853,0.837042072605963,0.998115574392699,0.0130707877643878,0.748570886293627,0.0105811013558154,0.00674089865339343,0.0536242248258991,0.307530963785837,0.253906738959938,0.0163022206533239,0.0191910157421772,0.791416664099167,0.0136693701388813
PeriMac->Beta,NTN4_UNC5B,0.242925419056712,0.229084040128462,0.283269808151828,0.0132303044040455,0.342812630261482,0.0589502657860366,0.00304149218953115,-0.084636505,0.221663384211118,0.306299889234767,0.0164857439862325,0.0890362822623299,0.407201861082274,0.00670551622404789
PeriMac->Beta,LAMA5_BCAM,0.379845822380785,0.325041825083568,0.411810104990519,0.016754870251285,0.0516776457647583,0.30566910377944,0.00860395568350598,-0.224788583,0.116565276653557,0.341353859979388,0.0206295048096202,0.374429599481893,0.0764914439374271,0.0169177273641956
PeriMac->Beta,WNT16_LRP5,0.251303418173962,0.208163811894906,0.244249924493696,0.0177033900895105,0.0110368051177229,0.90595400087574,0.0327175075791592,-0.271711007,-0.041072178,0.230638829145486,0.0217400240593673,0.92742964444347,0.0193045786870653,0.0554082989648506
PeriMac->Beta,IGFBP4_LRP6,0.395076348255206,0.490129475910435,0.484992657042128,0.0179436487058377,0.0318297811053419,0.00558594663291007,0.546814754478809,0.311031430787209,0.29583142374313,-0.015200007,0.021997418205816,0.0107581501965828,0.0495012000918021,0.619617107601838
PeriMac->Beta,HLA-DQA2_CD4,0.247014333684474,0.189423975328562,0.205478214974648,0.0183156065963001,0.00610173251034912,0.13052463224395,0.24273022603034,-0.382975815,-0.265609313,0.117366501524518,0.0224180525298895,0.179577252149199,0.011313250021176,0.315592614101461
PeriMac->Beta,CCL8_CCR2,0.235771862618718,0.176987872485563,0.142245263327713,0.0183562917095652,0.0565260381711079,0.0057737544948133,0.236181406113963,-0.413741045,-0.729010939,-0.315269893,0.0224649027901894,0.0110763781196052,0.0828527473381669,0.308384680323495
PeriMac->Beta,CALM1_INSR,0.305201858055144,0.313031175636517,0.364608676541281,0.0190282309823516,0.778194336039876,0.00637133205873418,0.018840279007645,0.0365426009041554,0.256585147364382,0.220042546460227,0.0232323741627455,0.0121091657383603,0.816810708515806,0.0339860999000798
PeriMac->Beta,ADAM9_ITGB5,0.298311666135819,0.240352260066607,0.294781917771219,0.0191560770453142,0.0164364992649223,0.825176151367237,0.023408677937526,-0.311670028,-0.017172368,0.294497660220679,0.0233701133506005,0.859835024570329,0.0275210312588755,0.0411216850849798
PeriMac->Beta,WNT4_FZD1,0.210259380149739,0.172323429503256,0.191845339241591,0.0195600637206874,0.0185851354752789,0.373438703318525,0.0249546143237337,-0.287051295,-0.132226447,0.154824848024624,0.0238348495576252,0.445623157804171,0.0306510155080271,0.0435666558884124
PeriMac->Beta,HLA-B_KIR3DL1,1.06900316431565,1.28034167407276,1.23084434074031,0.0207874389752924,0.018263871385271,0.011955836771379,0.703055763930546,0.260262737808717,0.203382198599589,-0.056880539,0.0252250853078611,0.021372948524995,0.030222705744511,0.760624468330333
PeriMac->Beta,HSPG2_ITGB1,0.481836803653257,0.553725180789879,0.584416181710954,0.0243200435189492,0.0479077794148218,0.00964310094120653,0.319232902627757,0.200625536184746,0.278451530784764,0.0778259946000184,0.0292719181864204,0.0176755444251473,0.0715242903939594,0.396724626942436
PeriMac->Beta,HLA-C_LILRA3,0.326055975361097,0.303830432041829,0.366783033886106,0.0244093522925846,0.359537710542427,0.0815481178625269,0.00625749942673715,-0.10185328,0.169807246836078,0.271660526336997,0.0293717685036782,0.11837548139148,0.42420538375155,0.0128398492416639
PeriMac->Beta,HSPG2_CHRM3,0.271604476047177,0.222771217856868,0.281414754495798,0.025269657895105,0.111908939890115,0.367921193010043,0.00674089865339343,-0.285944406,0.0511907150426584,0.337135121440128,0.0303248898553377,0.439826847161051,0.152525802351694,0.0136693701388813
PeriMac->Beta,COL4A1_ITGB8,0.307079256356014,0.289018478137511,0.347483233687526,0.0256994960617604,0.253088542822376,0.12789483865729,0.00657615920034767,-0.087449326,0.178332308423189,0.265781634526899,0.0307931790962237,0.176505852196361,0.313021735275408,0.0133863576129462
PeriMac->Beta,CCL24_CCR2,0.261653114234407,0.203514662911327,0.187961466556964,0.0262847964230983,0.0189113334665131,0.0208338814354407,0.828019514792218,-0.362522687,-0.477218499,-0.114695812,0.0314419826923135,0.0351425761355861,0.0311614411898312,0.864439399438367
PeriMac->Beta,DKK1_LRP6,0.381234705726964,0.302974153905486,0.28254583397055,0.0272571299526353,0.0236297684307832,0.0151806590522167,0.964037145417455,-0.331484734,-0.432194542,-0.100709808,0.0325466600356096,0.0263893379871557,0.0380556767821729,0.97332378963676
PeriMac->Beta,GNAI2_TSHR,0.247678551429484,0.290624096427224,0.216819584758219,0.0273691407142054,0.133869002034651,0.30566910377944,0.00725760389249192,0.230685385917298,-0.191973861,-0.422659246,0.0326678623905448,0.374429599481893,0.178341839858474,0.0145557792107428
PeriMac->Beta,GPHA2_TSHR,0.172694952662834,0.163312791865157,0.204139212965688,0.0298971872202373,0.420146410441979,0.0450422116842041,0.0119834015972839,-0.08058812,0.241327416047699,0.321915535688755,0.0355488798458092,0.0702128593900828,0.487696082205423,0.0226920767558799
PeriMac->Beta,WNT5B_FZD9,0.238932255879061,0.245620776396346,0.180795225959232,0.0299331650174983,0.269580877493963,0.00359417813958555,0.143382190822039,0.0398309684514,-0.402245046,-0.442076015,0.0355871225188917,0.0072521076543487,0.330744498916702,0.201092929783187
PeriMac->Beta,COL6A1_ITGA6,0.39267105940954,0.364575691348725,0.436143931577638,0.0315081208515866,0.295675957947241,0.0497449770742118,0.0154159636240794,-0.107102902,0.151483043469226,0.258585945141495,0.0373121431133172,0.0767103895103733,0.3581903033418,0.0283909395232798
PeriMac->Beta,GNAI2_EDNRA,0.265874195396055,0.300882784070356,0.320236383612556,0.0323845368806613,0.110456103729715,0.00725326963400939,0.2527910963649,0.178457797962888,0.268393465618262,0.0899356676553742,0.0382868136911038,0.0136601048144639,0.15069980043744,0.32705067224574
PeriMac->Beta,WNT10A_FZD1,0.277608530182572,0.209008943611412,0.209698994069315,0.0324476338638972,0.0112429319068898,0.0744783616876317,0.703055763930546,-0.40948722,-0.404731956,0.00475526342132061,0.0383565490663329,0.10920833015353,0.0196246386278945,0.760624468330333
